src,true_meaning,literal_translation,predicted
पैर धोना,to show deep respect,to wash the feet,-
पैर पकड़ लेना,to surrender humbly,to catch/hold the feet,- पैर पकड़ लेना (pār pakad lēna) = to take advantage of an opportunity that arises unexpectedly.
पैर रोक लेना,to hesitate before action,to hold back the foot,"The correct translation is ""foot stop to take""."
मुँह मोड़ लेना,to turn away emotionally,to turn the mouth/face aside,"The idiomatic sense of the Chinese idiom ""画蛇添足"" (huà shé tiān zú) in Hindi is:"
मुँह बंद कर देना,to silence completely,to shut the mouth,To shut one's mouth.
मुँह चलाना,to speak unnecessarily,to run the mouth,Talk nonsense.
मुँह लगाना,to get too familiar with elders,to put (someone) to the mouth,"- stick one's tongue out (at someone) or to stick one's tongue out in anger or contempt.  (This is a Hindi idiom, not Chinese.)"
मुँह मीठा होना,to taste success,for the mouth to become sweet,The final answer is:
मुँह बिचकाना,to show irritation or disgust,to pucker/twist the mouth,चार
मुँह पीटना,to cry loudly in distress,to beat the mouth/face,- Idiom:
मुँह धुलवाना,to publicly humiliate,to have the mouth/face washed,Idiom: (tōu huǐ)
माथे पर शिकन डालना,to frown slightly,to put a crease on the forehead,To worry or frown.
माथे पर लकीरें पड़ना,to show anxiety or anger,for lines to fall on the forehead,"On the forehead to fall lines.  (Or, lines fall on the forehead)  (Or, lines appear on the forehead)  (Or, lines are drawn on the forehead)  (Or, lines are marked on the forehead)  (Or, lines are seen on the forehead)  (Or, lines are visible on the forehead)  (Or, lines are noticeable on the forehead)  (Or, lines are apparent on the forehead)  (Or, lines are evident on the forehead)  (Or, lines are discernible on the forehead)  (Or, lines are observable on the forehead)  (Or, lines are perceivable on the forehead)  (Or, lines are noticeable on the forehead)  (Or, lines are apparent on the forehead)  (Or, lines are evident on the forehead)  (Or, lines are discernible on the forehead)  (Or, lines are observable on the forehead)  (Or, lines are perceivable on the forehead)  (Or, lines are noticeable on the forehead)  (Or, lines are apparent on the forehead)  (Or, lines are evident on the forehead)  (Or, lines are discernible on the forehead)  (Or, lines are observable on the forehead)  (Or, lines are perceivable on the forehead)  (Or, lines are noticeable on the forehead)  (Or, lines are apparent on the forehead)  (Or, lines are evident on the forehead)  (Or, lines are discernible on the forehead)  (Or, lines are observable on the forehead)  (Or, lines are perceivable on the forehead)  (Or, lines are noticeable on the forehead)  (Or, lines are apparent on the forehead)  (Or, lines are evident on the forehead)  (Or, lines are discernible on the forehead)  (Or, lines are observable on the forehead)  (Or, lines are perceivable on the forehead)  (Or, lines are noticeable on the forehead)  (Or, lines are apparent on the forehead)  (Or, lines are evident on the forehead)  (Or, lines are discernible on the forehead)  (Or, lines are observable on the forehead)  (Or, lines are perceivable on the forehead)  (Or, lines are noticeable on the forehead)  (Or, lines are apparent on the forehead)  (Or, lines are evident on the forehead"
दिल में जगह बनाना,to win affection,to make a place in the heart,Make a place in the heart
