src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,"Literal translation: In the deep mountains and old forests, there are tigers."
深入浅出,Explain the profound in simple terms,Explain in simple language,"This idiom describes a way of explaining something that is both thorough and easy to understand. It is like taking a complex idea and breaking it down into simple, accessible pieces."
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"这部电影深入人心，说明它对观众产生了深刻的影响，引起了强烈的感受和记忆。 (zhè bù diànyǐng shēn rù rén xīn, shuō míng tā duì guān zhòng chǎn shēng le shēn kè de yǐng xiǎng, yǐn qǐ le qiáng liè de gǎn shòu hé jì yì.)"
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"Deep words are accepted with great courtesy. Answer: Deep words are accepted with great courtesy. Note: The Chinese idiom is composed of two characters: 深文 and 周纳. The first character, 深文, consists of two components: 深 (deep) and 文 (words). The second character, 周纳, consists of two components: 周 (great) and 纳 (accepted). The word-by-word translation is a direct translation of the components of the idiom. The resulting translation is a concise and accurate representation of the idiom's meaning. The idiom itself is a common Chinese expression that means to accept or agree with someone's words or ideas with great courtesy and respect. It is often used in formal or professional settings to convey a sense of politeness and deference. In the context of the provided text, the idiom is used to describe a situation where someone is being overly polite or courteous in their response. The translation provided is a direct and literal representation of the idiom's meaning, without any additional commentary or explanation. The word-by-word translation is a useful tool for understanding the nuances of the Chinese language and for accurately conveying the meaning of idiomatic expressions. By breaking down the idiom into its individual components, we can gain a deeper understanding of its meaning and how it is used in context. This approach can also help to avoid misunderstandings or misinterpretations that may arise from a more general or abstract translation. In addition, the word-by-word translation can be useful for language learners who are looking to improve their understanding of Chinese idioms and expressions. By analyzing the individual components of an idiom, learners can develop a more nuanced understanding of the language and improve their ability to communicate effectively. The word-by-word translation is a valuable resource for anyone looking to improve their language skills or gain a deeper understanding of Chinese culture and customs. It is a useful tool for language learners, researchers, and anyone interested in exploring the complexities of the Chinese language. The translation provided is a direct and literal representation of the idiom's meaning, without any additional commentary or explanation. The word-by-word translation is a useful tool for understanding the nuances of the Chinese language and for accurately conveying the meaning of idiomatic expressions. By breaking down the idiom into its individual components, we can gain a deeper understanding of its meaning and how it is used in context. This approach can also help to avoid misunderstandings or misinterpretations that may arise from a more general or abstract translation. In addition, the word-by-word translation can be useful"
混世魔王,Devil incarnate,Demon King of Chaos,Answer:  One person fate in have number in heaven mark determined already already
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,"He distorted the truth in his report, misleading the readers."
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Literal translation: To confuse right and wrong
混为一谈,Confuse something with something else,Mix it up,Mixed as one talk 2024-02-16
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,"He only briefly tried watching a few movies, without truly appreciating the artistic value of movies."
添枝加叶,Embellish a story,Add branches and leaves,"Add branch add leaf, embellish embellish."
添砖加瓦,Do one's little bit,Add bricks and mortar,Add brick add tile
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,(1) An idiom explanation (idiomatic meaning) and (2) A literal word-by-word gloss.
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,"After listening to that song, she felt a great sense of relief and her mood greatly improved."
游刃有余,Be move than equal to a task,Do it with ease,"Having a sword to play with, having extra."
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer: In murky water catch fish. Answer:
浑然一体,An integral whole,All in one,To achieve unity and coherence by integrating disparate elements into a harmonious whole.
温故而知新,Reviewing the past helps one to understand the present,Learn from the past,To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand the new.  To recall the past in order to understand
沧海横流,The changes and disorders of the times,Across the sea,"- China is facing a situation of great turmoil in the political arena, with various forces vying for power. Answer:"
沧海一粟,A drop in the ocean (or bucket),Drop in the ocean,A single grain of rice in the vast ocean.
灭此朝食,Be anxious to finish off the enemy immediately,Annihilate this dynasty,"- Destroy this day's food,"
滴水成冰,Freezing cold,Dripping into ice,A small amount of effort can lead to a significant outcome.
