src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,Literal: Translation: Deep mountain old forest
深入浅出,Explain the profound in simple terms,Explain in simple language,straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer: straightforward and easy to understand.  Answer
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,"This idiom means to deeply resonate with people's emotions or values. It implies that something has touched the core of their being, making a lasting impression. The phrase is often used to describe a work of art, a speech, or a message that has had a profound impact on people's minds and hearts.  Example: ""The movie's portrayal of social injustice deeply resonated with the audience, touching their hearts and minds.""  In this context, the idiom **深入人心** is used to convey the idea that the movie's message has had a profound and lasting impact on the audience."
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Literal: Deep understanding great courtesy accept welcome
混世魔王,Devil incarnate,Demon King of Chaos,The world mixed devil king Answer: The world mixed devil king
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Mix confuse black white Answer: Mix up right and wrong
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,The final answer is: 混淆是非  分清是非  混淆是非是指在道德或伦理问题上混淆善恶，导致判断失误或行为不当。  分清是非是指在道德或伦理问题上明确区分善恶，做出正确的判断和行为。  通过教育和引导，人们可以分清是非，做出正确的选择。  某些人在政治上混淆是非，导致了社会的混乱。  混淆是非  分清是非  混淆是非是指在道德或伦理问题上混淆善恶，导致判断失误或行为不当。  分清是非是指在道德或伦理问题上明确区分善恶，做出正确的判断和行为。  通过教育和引导，人们可以分清是非，做出正确的选择。  某些人在政治上混淆是非，导致了社会的混乱。  混淆是非  分清是非  混淆是非是指在道德或伦理问题上混淆善恶，导致判断失误或行为不当。  分清是非是指在道德或伦理问题上明确区分善恶，做出正确的判断和行为。  通过教育和引导，人们可以分清是非，做出正确的选择。  某些人在政治上混淆是非，导致了社会的混乱。  混淆是非  分清是非  混淆是非是指在道德或伦理问题上混淆善恶，导致判断失误或行为不当。  分清是非是指在道德或伦理问题上明确区分善恶，做出正确的判断和行为。  通过教育和引导，人们可以分清是非，做出正确的选择。  某些人在政治上混淆是非，导致了社会的混乱。  混淆是非  分清是非  混淆是非是指在道德或伦理问题上混淆善恶，导致判断失误或行为不当
混为一谈,Confuse something with something else,Mix it up,He's confusing two different issues.  Answer: He's confusing two different issues. 2022-07-07 13:00:00
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Stop after only lightly tasting
添枝加叶,Embellish a story,Add branches and leaves,"He added unnecessary details to his speech, telling many unrelated stories."
