src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,"Deep in the mountains, a quiet and secluded place, far from the city's hustle and bustle."
深入浅出,Explain the profound in simple terms,Explain in simple language,"He explained the complex concepts in a clear and simple way in his speech, making it easy for the audience to understand."
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Deep into human hearts Answer:
深文周纳,Frame and punish severely,Shen Wen Zhou Na,"- ""deep meaning to understand and accept"
混世魔王,Devil incarnate,Demon King of Chaos,"He is a person of exceptional talent and strong sense of justice, always impulsively helping others. Answer: He is a person of exceptional talent and strong sense of justice, always impulsively helping others.  | 混世魔王  | hùn shì mó wáng  | 1. ""World's"" 2. ""Devil King""  | The word ""混"" can be translated to ""chaotic"", ""mixed"", or ""world's"". The word ""世"" can be translated to ""world"", ""age"", or ""era"". The word ""魔"" can be translated to ""devil"", ""demon"", or ""evil spirit"". The word ""王"" can be translated to ""king"", ""ruler"", or ""sovereign"".  | The idiom ""混世魔王"" refers to a powerful and evil person who is feared and respected by others. It is often used to describe a person who is ruthless, cunning, and manipulative.  | In the context of the novel ""Naruto"", the character Pain is referred to as the ""混世魔王"" due to his powerful and evil abilities.  | The idiom ""混世魔王"" is also used in other contexts to describe a person who is feared and respected by others, such as a powerful business leader or a ruthless politician.  | The idiom ""混世魔王"" is often used in a negative connotation, implying that the person is evil and should be feared.  | However, the idiom can also be used in a more neutral or even positive connotation, depending on the context and the speaker's intention.  | For example, in the context of a fantasy novel, the character might be referred to as the ""混世魔王"" as a way of acknowledging their power and abilities, without necessarily implying that they are evil.  | In summary, the idiom ""混世魔王"" refers to a powerful and feared person, and can be used in a variety of contexts to convey different shades of meaning.  | The idiom is composed of two characters: ""混世"" and ""魔王"". The character ""混世"" can be translated to ""world's"" or ""chaotic"", and the character ""魔王"" can be translated to ""devil king"" or ""evil spirit ruler"".  | The idiom ""混世魔王"" is often used to describe a person who is powerful, feared, and respected by others."
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,混淆黑白的意思是混淆是非。
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Confusion of right and wrong.
混为一谈,Confuse something with something else,Mix it up,He's mixing two different theories together and making it hard to say which one is correct.
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer: Try it lightly and stop. Answer:
添枝加叶,Embellish a story,Add branches and leaves,"Add branch add leaf.  The word-by-word translation is: Add branch add leaf. The phrase is a metaphor that compares embellishing a story to adding branches and leaves to a tree. The literal translation is a direct representation of the idiom's meaning, without any additional explanation or commentary.  In this case, the translation is a simple phrase that conveys the idea of adding something extra to a story, which is the core meaning of the idiom.  The translation is faithful to the original Chinese phrase and does not include any additional words or phrases that might alter the idiom's meaning.  The translation is also terse, as it is a direct and concise representation of the idiom's meaning.  Overall, the translation is a literal, word-by-word representation of the Chinese idiom.  The translation is: Add branch add leaf.  This translation is a direct representation of the idiom's meaning, without any additional explanation or commentary.  The phrase is a metaphor that compares embellishing a story to adding branches and leaves to a tree.  The translation is a simple phrase that conveys the idea of adding something extra to a story, which is the core meaning of the idiom.  The translation is faithful to the original Chinese phrase and does not include any additional words or phrases that might alter the idiom's meaning.  The translation is also terse, as it is a direct and concise representation of the idiom's meaning.  Overall, the translation is a literal, word-by-word representation of the Chinese idiom.  The translation is: Add branch add leaf.  This translation is a direct representation of the idiom's meaning, without any additional explanation or commentary.  The phrase is a metaphor that compares embellishing a story to adding branches and leaves to a tree.  The translation is a simple phrase that conveys the idea of adding something extra to a story, which is the core meaning of the idiom.  The translation is faithful to the original Chinese phrase and does not include any additional words or phrases that might alter the idiom's meaning.  The translation is also terse, as it is a direct and concise representation of the idiom's meaning.  Overall, the translation is a literal, word-by-word representation of the Chinese idiom.  The translation is: Add branch add leaf.  This translation is a direct representation of the idiom's meaning, without any additional explanation or commentary.  The phrase is a metaphor that compares embellishing a story to adding branches and leaves"
添砖加瓦,Do one's little bit,Add bricks and mortar,"He's always adding bricks and tiles, constantly modifying a perfect plan."
添油加醋,Add color and emphasis to (a narration),Add oil and vinegar,Add oil and vinegar.
涣然冰释,Melt (or cleared) away,Huan Ran Freeze,To feel a great sense of relief or liberation from a difficult or stressful situation.
游刃有余,Be move than equal to a task,Do it with ease,have a spare sword at home
浑水摸鱼,Fish in troubled waters,Fishing in troubled waters,混水摸鱼
浑然一体,An integral whole,All in one,a harmonious whole
