src,true_meaning,literal_translation,predicted
深山老林,"Remote, thickly forested mountains",Deep mountain forest,"Deep mountain old forest refers to a remote and secluded area, often used to describe a place that is far from the hustle and bustle of city life."
深入浅出,Explain the profound in simple terms,Explain in simple language,"Deep enter shallow out. Answer: Clear and concise. Explanation: This idiom conveys the idea of presenting complex information in a straightforward and uncomplicated manner, making it easy for others to comprehend. Note: This idiom is often used to describe a speaker or writer who can effectively communicate complex ideas to a wide audience. Example sentence: He explained complex concepts in a simple and clear way in his speech, making it easy for the audience to understand. Pronunciation: shēn rù qiǎn chū Characters: 深入浅出 Definition: to explain complex ideas in a simple and clear way, making them easy to understand. Synonyms: 简明易懂, 清晰易懂 Antonyms: 冗长难懂, 复杂难解 Related idioms: 简明扼要, 清晰明了 Usage: This idiom is often used in academic, business, or professional settings to describe a speaker or writer who can effectively communicate complex ideas to a wide audience. Tips: When using this idiom, you can use it to describe a speaker or writer who can make complex ideas accessible to a broad audience. You can also use it to describe a presentation or speech that is clear and concise. Common phrases: * 深入浅出地解释 (to explain complex ideas in a simple and clear way) * 深入浅出地讲解 (to explain complex ideas in a simple and clear way) * 深入浅出地说明 (to explain complex ideas in a simple and clear way) * 深入浅出地解释 (to explain complex ideas in a simple and clear way) * 深入浅出地讲解 (to explain complex ideas in a simple and clear way) * 深入浅出地说明 (to explain complex ideas in a simple and clear way) * 深入浅出地解释 (to explain complex ideas in a simple and clear way) * 深入浅出地讲解 (to explain complex ideas in a simple and clear way) * 深入浅出地说明 (to explain complex ideas in a simple and clear way) * 深入浅出地解释 (to explain complex ideas in a simple and clear way) * 深入浅出地讲解 (to explain complex ideas in a simple and clear way) * 深入浅出地说明 (to explain complex ideas in a simple and clear way) * 深入浅出地解释 (to explain complex ideas in a simple and clear way) *"
深入人心,Capture the hearts of the people,Deeply rooted in the hearts of the people,Deep into human heart
深文周纳,Frame and punish severely,Shen Wen Zhou Na,Deeply speak week accept.
混世魔王,Devil incarnate,Demon King of Chaos,He gained political power with the support of a powerful and influential person in a chaotic world.
混淆黑白,Confuse (or juggle) black and white,Confuse black and white,Confuse black white Answer: Confuse black white
混淆是非,Confuse (or confound) right and wrong,Confusing right and wrong,Mixing up is not not
混为一谈,Confuse something with something else,Mix it up,Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result: Mix up for a single conversation. Result
浅尝辄止,Be satisfied with a smattering of a subject,Just taste it,shallowly try and stop Answer:
添枝加叶,Embellish a story,Add branches and leaves,Answer 2: Add branches add leaves
