Unnamed: 0,src,true_meaning,predicted
0,9. 《全球行动纲领》协调处得到比利时的财政支持，目前正帮助埃及、尼日利亚、坦桑尼亚联合共和国、斯里兰卡和也门制订试行的保护海洋环境免受陆地活动影响的国家行动方案。,"The Global Programme of Action Coordination Office, with the financial support of Belgium, is currently assisting Egypt, Nigeria, United Republic of Tanzania, Sri Lanka and Yemen to develop pilot national programmes of action for the protection of the marine environment from land-based activities.","The Coordination Unit of the Global Action Plan received financial support from Belgium and is currently assisting Egypt, Nigeria, the United Republic of Tanzania, Sri Lanka, and Yemen in developing national action plans for protecting marine environments from the impact of land-based activities."
1,"该论坛达成的亚洲和非洲国家私营公司间的商业合同超过了2,400万美元。",The forum produced business contracts amounting to more than $24 million between Asian and African private companies.,"The forum has reached a business contract between Asian and African private companies, exceeding 2,400,000 US dollars."
2,艾滋病来势汹汹及其传染速度让很多南非人意想不到。像发达国家一样，艾滋病毒感染最初集中在血友病患者、性活跃同性恋者以及静脉注射吸毒人员中。但20世纪90年代某种未知原因导致公众病毒感染率暴增。被病毒感染的南非民众数量（相当于丹麦全国人口）超过了相邻莫桑比克、莱索托、博茨瓦纳、纳米比亚、斯威士兰和津巴布韦的总和。,"But, during the 1990’s, and for reasons that are still notfully understood, the virus exploded into the general population.The number of infected South Africans (equivalent to the populationof Denmark) outstrips that of neighboring Mozambique, Lesotho,Botswana, Namibia, Swaziland, and Zimbabwe combined.",(1) 艾滋病来势汹汹及其传染速度让很多南非人意想不到。
3,大概自1968年委员会开始执行其任务以来，委员会从未遇到被占领土内的巴勒斯坦人和其他阿拉伯人如此愤怒和悲惨过，以及其基本人权和基本自由如此不受尊重。,Not since the inception of its mandate in 1968 has the Committee ever confronted such anger and misery among the Palestinian people and other Arabs in occupied territories and disrespect for their basic human rights and fundamental freedoms.,"The committee has never experienced such anger and sadness from Palestinians and other Arabs in the occupied territories, as well as their basic human rights and freedoms being so poorly respected."
4,“6.　又欢迎经济转型国家渴望进一步开展区域、次区域和区域间合作，请联合国系统加强同其成员包括经济转型国家的各区域和次区域合作组织的对话，并增加对它们的支助；,"“6. Also welcomes the aspiration of the countries with economies in transition towards the further development of regional, subregional and interregional cooperation, and invites the United Nations system to enhance dialogue with and increase support to the regional and subregional cooperation organizations whose membership includes the countries with economies in transition;","We welcome countries that are transitioning to a more developed economy and are eager to further develop regional, subregional, and interregional cooperation. The United Nations system should strengthen dialogue with these countries, including their regional and subregional organizations, and increase their support. At the same time, we encourage these countries to work with developed countries and developing countries to promote regional and subregional cooperation."
5,提及的其他名字不在名单上。,Other names mentioned are not listed.,"When mentioning other names, they are not included in the list."
6,你可以吗 可以了,"You got that? You all right? We're very, very ready!",Can you do it? You can do it now.
7,38. 马达加斯加格洛里厄斯群岛、新胡安岛、欧罗巴岛和印度巴萨斯岛问题（2005年9月20日第60/503 A号决定）。,"Question of the Malagasy islands of Glorieuses, Juan de Nova, Europa and Bassas da India (decision 60/503 A of 20 September 2005).",(1) 马达加斯加格洛里厄斯群岛、新胡安岛、欧罗巴岛和印度巴萨斯岛问题（2005年9月20日第60/503 A号决定）。
8,根据难民专员办事处的说法，需要采取进一步具体措施，例如将阿族人纳入地方警察部队以及使该地区非军事化等等，以便消除该地区紧张根源。,"According to UNHCR, further concrete measures, such as the inclusion of ethnic Albanians in the local police forces and the demilitarization of the area, are needed in order to address the sources of tension in the area.",(1) 根据难民专员办事处的说法，需要采取进一步具体措施，例如将阿族人纳入地方警察部队以及使该地区非军事化等等，以便消除该地区紧张根源。
9,不，他脑子不清楚。,No. He's not thinking straight.,"No, he is not thinking clearly."
10,我们想解释我们对决议草案A/C.5/54/L.69的投票。,We wanted to explain our vote on draft resolution A/C.5/54/L.69.,We want to explain our vote on the draft resolution A/C.5/54/L.69.
11,这种做法目前可能还可行，但我们需要考虑到这种形势，不一定改变做法，但至少要对之进行某些调整。,"The approach may be working at this time, but we have to take the situation into consideration, and not necessarily change the approach, but at least perhaps make some adjustments to it.",这种做法目前可能还可行，但我们需要考虑到这种形势，不一定改变做法，但至少要对之进行某些调整。
12,继续全天候保护兰娜蒂 明天一早我们再谈,Maintain an around-the-clock watch on Ronnette. We'll speak in the morning.,"Continue to protect Lanaity all day tomorrow, we'll talk again in the morning."
