Unnamed: 0,src,true_meaning,predicted
0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.",सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.
1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","So, if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist, we can't even try to be your friend, and if your tribe doesn't exist"
2,- हाँ.,- Yeah.,- तो तो. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना. - यात्रा करना.
3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,"If the audience is educated, then the speaker will be concise (<= 2 sentences), and do not translate word-by-word; provide the cultural, idiomatic sense."
4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,♪हमेशाके लिएबाध्यहोने
5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',An attempt to send a message to a non-mbox source '%s'.
6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,A good image histogram adjustment level plugin for my design software.
7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,- Where is Lady Eboshi? Everyone who can change places and go to kill the golden god.
8,वो मेरी माँ है.,My mother's from Sweden.,My mother is her.
9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.",उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके लिए उनके ल
10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,This is good like a fil.
11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,"यह अनुवाद एक अनुवाद नहीं है, लेकिन यह एक अनुवाद है, जो लोगों को अपने अंग्रेजी अभ्यास को बढ़ावा देता है।"
12,आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.,You let two unknown men enter this house uninvited.,You should invite two unknown people to this house without introducing them. Show them your experience in the way you have experienced it. Show them your experience in the way you have experienced it.
13,यह पूरी स्थिति पूरी तरह से गड़बड़ है.,This whole situation is completely fucked.,आपको एक बड़ा विस्तारित विचार करना होगा.
14,गूगल टाक होम नाम 3,Google Talk Home Name 3,"Google's homepage displays the name ""Google"" three times."
15,सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.,All prisoners report for Lockdown.,Report all prisoners for lockdown.
16,जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे,"Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?","Keep it terse and faithful to each component. No commentary, just the literal gloss."
17,"आप ठीक हो जाएगा रहे हैं, अरे नहीं;",Turn the siren off.,"You'll be fine, aren't you?"
18,नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO],Name:,Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]
19,हम एक अस्पताल जाना चाहिए।,We should go to a hospital.,We should go to a hospital.
20,तो तुम्हारी योजना क्या है?,Whoa! So... What is your...,"What is your plan?"" (natural English translation)"
21,मैं इसे पीने के लिए नहीं जा रहा हूँ।,I'm not going to drink it.,It is necessary for you to save your body.
