Unnamed: 0,src,true_meaning,predicted
0,सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.,"Give shots of injections or pills, but he must be alright soon.","Keep it terse and faithful to each component. No commentary, just the literal gloss."
1,और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते,"They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”","If you can't come, it's very strange for us."
2,- हाँ.,- Yeah.,- तो दिखाता है.
3,"जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,",If evil befalls him he is perturbed;,"जब उसे तकलीफ़ पहुँचती है तो उसे घबराने की आवश्यकता होती है, और उसे बेहतरीन विश्वास नहीं होता है।"
4,♪हमेशाके लिएबाध्यहोने,♪ BE FOREVER BOUND,"We are not responsible for our lives, and it is not for our lives that they are responsible."
5,एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश,Trying to movemail a non-mbox source '%s',A non-mbox source '%s' is attempting to send a message.
6,डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन,Image histogram adjust levels plugin for digiKam,To adjust the histogram levels for image processing in design software.
7,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.,She took every able-bodied man and went to kill the Forest Spirit.,- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया. - लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया. - लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया. - लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया. - लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया. - लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला
8,वो मेरी माँ है.,My mother's from Sweden.,She is my mother.
9,(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं,"Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.",और उनके लिए ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपने उन बन्दों को ख़ुदा ने अपन
10,यह अच्छा है फिल की तरह है?,Is it cool like Phil's?,This is good like a fil.
11,क्या मौजूदा स्ट्रीम seekable है,Whether the current stream is seekable,Is the current stream seekable?
